player_id,player_name,player_job,player_god,kills,deaths,blessings,kd_ratio,score,last_position,last_battle_time,last_updated
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"442,546",2025-03-22 09:52:58,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"435,532",2025-03-22 09:52:35,2025-03-22 18:34:14
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"435,533",2025-03-22 09:52:32,2025-03-22 18:34:16
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"438,520",2025-03-22 09:52:15,2025-03-22 18:34:12
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"437,512",2025-03-22 09:52:04,2025-03-22 18:34:12
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"440,517",2025-03-22 09:51:55,2025-03-22 18:34:16
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"440,515",2025-03-22 09:51:52,2025-03-22 18:34:16
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"445,504",2025-03-22 09:51:46,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"449,507",2025-03-22 09:51:30,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"434,511",2025-03-22 09:51:25,2025-03-22 18:34:14
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"435,544",2025-03-22 09:51:21,2025-03-22 18:34:12
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"437,507",2025-03-22 09:51:13,2025-03-22 18:34:16
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"425,531",2025-03-22 09:50:58,2025-03-22 18:34:14
1031,Quamx,,比湿奴,1,0,0,1,3.0,"438,549",2025-03-22 09:50:57,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"426,538",2025-03-22 09:50:40,2025-03-22 18:34:14
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"420,527",2025-03-22 09:50:32,2025-03-22 18:34:16
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"436,535",2025-03-22 09:50:31,2025-03-22 18:34:14
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"435,528",2025-03-22 09:50:22,2025-03-22 18:34:16
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"438,535",2025-03-22 09:50:15,2025-03-22 18:34:16
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"414,538",2025-03-22 09:50:15,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"405,539",2025-03-22 09:50:04,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"421,535",2025-03-22 09:49:48,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"433,543",2025-03-22 09:49:31,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"424,534",2025-03-22 09:49:19,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"426,529",2025-03-22 09:49:14,2025-03-22 18:34:12
